<BR><BR>DEBUG 2023-04-22 09:50:38,450 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR> INFO 2023-04-22 09:50:38,450 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutdown complete.
<BR><BR>DEBUG 2023-04-22 09:50:38,451 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:50:38,451 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:50:38,450 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:50:38,451 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:50:38,451 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:50:38,451 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:50:38,451 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:50:39,521 megasoft.ActionServlet - Iniciando el Logger desde el Action Servlet
<BR><BR> INFO 2023-04-22 09:51:04,050 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutting down.
<BR><BR> INFO 2023-04-22 09:51:04,050 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED paused.
<BR><BR>DEBUG 2023-04-22 09:51:04,051 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:51:04,052 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:51:04,052 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:51:04,052 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:51:04,051 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:51:04,051 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:51:04,051 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:51:04,051 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:51:04,051 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
